Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Month,Weekday,Temperature(°C)_normalized,Humidity(%)_normalized,Wind speed (m/s)_normalized,Visibility (10m)_normalized,Dew point temperature(°C)_normalized,Solar Radiation (MJ/m2)_normalized,Rainfall(mm)_normalized,Snowfall (cm)_normalized,Year,Day,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_No Holiday,Functioning Day_Yes
2017-12-01,254,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,12,4,-1.5139572362780525,-1.042482884587357,0.4584757759647645,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,204,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,12,4,-1.5390741483279362,-0.9933699887973514,-0.8925614955119693,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,173,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,12,4,-1.580935668411076,-0.9442570930073456,-0.6995561710152931,0.9258713477706347,-1.6672618610968273,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,107,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,12,4,-1.597680276444332,-0.8951441972173398,-0.7960588332636312,0.9258713477706347,-1.659604672723206,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,78,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,12,4,-1.580935668411076,-1.0915957803773628,0.5549784382131023,0.9258713477706347,-1.73617655645942,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,100,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,12,4,-1.614424884477588,-1.042482884587357,-0.21704285977360252,0.9258713477706347,-1.7438337448330412,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,181,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,12,4,-1.6311694925108438,-1.1407086761673686,-0.4100481842702787,0.9258713477706347,-1.8050912518220124,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,460,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,12,4,-1.6981479246438673,-0.9933699887973514,-0.7960588332636312,0.9258713477706347,-1.7897768750747698,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,930,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,12,4,-1.7148925326771234,-1.042482884587357,-0.603053508766955,0.9258713477706347,-1.8280628169428768,-0.6436202182560112,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,490,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,12,4,-1.6227971884942156,-1.5336118424874146,-1.1820694822569837,0.807501690688713,-2.0271497146570328,-0.3903672573157165,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,339,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,12,4,-1.3716280679953772,-1.6809505298574319,-0.5065508465186169,0.919295255710528,-1.935263454173576,0.0931156681157554,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,360,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,12,4,-1.1204589474965387,-1.8282892172274492,-0.4100481842702787,0.8206538748089266,-1.858691570437362,0.42694911662796203,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,449,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,12,4,-0.9362682591307239,-1.7300634256474376,-0.3135455220219407,0.9258713477706347,-1.6289759192287205,0.6226445864454627,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,451,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,12,4,-0.8776621310143281,-1.631837634067426,-0.1205401975252643,0.9258713477706347,-1.5064609052507785,0.6802020775682568,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,447,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,12,4,-0.8274283069145604,-1.5827247382774203,0.2654704514680881,0.9258713477706347,-1.4298890215145645,0.5075296041998741,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,463,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,12,4,-0.902779043064212,-1.0915957803773628,1.4235023984481456,0.9258713477706347,-1.18485899355868,-0.03351081235439197,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,484,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,12,4,-0.9781297792138636,-0.20756365615725933,2.388529020931527,-1.0584644313665796,-0.8479427051193388,-0.3788557590911576,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,555,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,12,4,-1.0116189952803754,-0.011112072997236332,-0.1205401975252643,0.9258713477706347,-0.8096567632512318,-0.5630397306840992,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,862,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,12,4,-1.0283636033136312,0.3817910933228097,-0.3135455220219407,0.9258713477706347,-0.6947989376469109,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,600,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,12,4,-1.078597427413399,0.922032947012873,-0.024037535276926314,0.9258713477706347,-0.5799411120425901,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,426,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,12,4,-1.103714339463283,1.0202587385928845,-0.21704285977360252,0.7828413454633127,-0.5799411120425901,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,405,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,12,4,-1.1455758595464227,1.118484530172896,-0.8925614955119693,0.4112921440672809,-0.5875983004162114,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,398,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,12,4,-1.1539481635630506,1.2167103217529074,-0.21704285977360252,-0.09342292154591283,-0.5722839236689687,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-01,323,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,12,4,-1.1874373796295623,1.2658232175429132,-0.6995561710152931,-0.28248556827398213,-0.5875983004162114,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,1,False,False,True,True,True
2017-12-02,328,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,12,5,-1.2292988997127021,1.4131619049129305,-0.603053508766955,-0.728015805346215,-0.5875983004162114,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,2,False,False,True,True,True
2017-12-02,308,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,12,5,-1.262788115779214,1.3640490091229247,-1.0855668200086457,-0.7345918974063218,-0.6335414306579398,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,2,False,False,True,True,True
2017-12-02,262,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,12,5,-1.3213942438956097,1.3640490091229247,-0.21704285977360252,-0.29728177540922235,-0.6871417492732895,-0.6551317164805701,-0.13179988368373619,-0.17189109256898677,2017,2,False,False,True,True,True
